bar,title,date
632,CATCHINGFIRE,4/2/12
1787,CATCHINGFIRE,4/3/12
1741,CATCHINGFIRE,4/4/12
1530,CATCHINGFIRE,4/5/12
3226,CATCHINGFIRE,4/6/12
1875,CATCHINGFIRE,4/7/12
6840,CATCHINGFIRE,4/8/12
2800,CATCHINGFIRE,4/9/12
2250,CATCHINGFIRE,4/10/12
3263,CATCHINGFIRE,4/11/12
1684,CATCHINGFIRE,4/12/12
1330,CATCHINGFIRE,4/13/12
1181,CATCHINGFIRE,4/14/12
1030,CATCHINGFIRE,4/15/12
1077,CATCHINGFIRE,4/16/12
1070,CATCHINGFIRE,4/17/12
907,CATCHINGFIRE,4/18/12
1168,CATCHINGFIRE,4/19/12
1965,CATCHINGFIRE,4/20/12
927,CATCHINGFIRE,4/21/12
1016,CATCHINGFIRE,4/22/12
968,CATCHINGFIRE,4/23/12
1167,CATCHINGFIRE,4/24/12
908,CATCHINGFIRE,4/25/12
898,CATCHINGFIRE,4/26/12
885,CATCHINGFIRE,4/27/12
1049,CATCHINGFIRE,4/28/12
832,CATCHINGFIRE,4/29/12
813,CATCHINGFIRE,4/30/12
